"256,0,0,10",2.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,2.0,2.0
"45,0,2,10",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"53,0,0,-1",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"50,0,0,10",3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0
"53,0,0,10",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"257,0,0,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"218,0,0,10",0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0
"245,0,0,10",-1.0,-1.0,-1.0,2.0,-1.0,3.0,3.0,3.0,-1.0
"274,0,3,10",2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0
"58,0,1,-1",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"40,0,0,10",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"212,0,0,10",5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0
"200,0,1,10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"261,0,3,10",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"232,0,0,10",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"205,0,0,10",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"180,0,0,10",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"125,0,1,10",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"234,0,5,10",-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,,-2.0,-2.0
"290,0,0,10",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"328,0,0,10",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"229,0,4,10",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"221,0,0,10",4.0,4.0,4.0,-1.0,-1.0,-1.0,4.0,4.0,4.0
"298,0,0,10",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"226,0,2,-1",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
"226,0,3,10",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"109,0,0,10",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"82,0,0,-1",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"49,0,1,10",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"64,0,0,10",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"81,0,0,10",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"40,0,1,10",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"229,0,3,-1",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"137,0,5,10",2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0
"225,0,1,-1",2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
"73,0,0,10",6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0
"225,0,1,10",2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
"157,0,3,10",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"146,0,4,10",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"58,0,5,10",2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
"257,0,0,10",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"193,0,0,10",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
